Neighborhood,Latitude,Longitude
SH35,12.905130756340947,77.74675805239765
Anekal,12.709560000000067,77.69804000000005
SH35,12.905130756340947,77.74675805239765
Chandapura,12.794010000000071,77.70015000000006
NH44,13.034885615233227,77.58880844038114
Thavarekere,12.922450000000026,77.61033000000003
Chikkabanavara,13.072135021477997,77.51375007793015
SH39,13.104358987031164,77.47808600939935
Hesaraghatta,13.139280000000042,77.47976000000006
SH39,13.104358987031164,77.47808600939935
Jigani,12.781130000000076,77.64258000000007
SH87,12.928390054930183,77.60057012438801
Nelamangala,13.100390000000061,77.39079000000004
NH48,13.034885615233227,77.58880844038114
NH75,13.056310833985254,77.47471199649002
Sarjapura,12.860720000000072,77.78360000000004
NH648,12.836791830778477,77.84757652465527
SH35,12.905130756340947,77.74675805239765
